measure,location,sex,age,metric,year,val,upper,lower
Population,People's Republic of China,Male,5-14 years,Number,1990,107038646.27873546,115006316.42045817,99779178.21898954
Population,People's Republic of China,Female,5-14 years,Number,1990,99531710.19396272,106940732.8701721,92781198.47790591
Population,People's Republic of China,Both,5-14 years,Number,1990,206570356.47269818,221947049.29063028,192560376.69689545
Population,People's Republic of China,Male,5-14 years,Number,2021,96935439.7985322,104288211.76968777,89829642.07404122
Population,People's Republic of China,Female,5-14 years,Number,2021,85027905.89189237,91476189.95291881,78796985.78241205
Population,People's Republic of China,Both,5-14 years,Number,2021,181963345.69042456,195764401.72260657,168626627.85645327
Population,People's Republic of China,Male,15-49 years,Number,1990,344641666.4025015,370279839.1603332,321288179.6484679
Population,People's Republic of China,Female,15-49 years,Number,1990,322210572.49146295,346178997.70774066,300378678.09461504
Population,People's Republic of China,Both,15-49 years,Number,1990,666852238.8939645,716458836.8680737,621666857.7430829
Population,People's Republic of China,Male,15-49 years,Number,2021,344602740.5559886,370713853.2891699,319385572.55189615
Population,People's Republic of China,Female,15-49 years,Number,2021,318697423.67100435,342809115.74487156,295426246.8708235
Population,People's Republic of China,Both,15-49 years,Number,2021,663300164.226993,713522969.0340415,614816072.6497434
Population,People's Republic of China,Male,50-69 years,Number,1990,79595857.57080045,85510987.2981215,74209805.50588344
Population,People's Republic of China,Female,50-69 years,Number,1990,74103394.30223793,79610339.84888251,69089104.04266304
Population,People's Republic of China,Both,50-69 years,Number,1990,153699251.87303838,165121327.147004,143298909.54854646
Population,People's Republic of China,Male,50-69 years,Number,2021,190390029.96366554,204801087.83882788,176478639.26446858
Population,People's Republic of China,Female,50-69 years,Number,2021,190120056.50427312,204498572.72011703,176243909.36103374
Population,People's Republic of China,Both,50-69 years,Number,2021,380510086.46793866,409299660.5589449,352722548.62550235
Population,People's Republic of China,Male,70+ years,Number,1990,16300073.15381403,17510104.857855484,15198760.826925132
Population,People's Republic of China,Female,70+ years,Number,1990,21229570.07987645,22804393.895503376,19796696.044719815
Population,People's Republic of China,Both,70+ years,Number,1990,37529643.23369048,40314498.75335886,34995456.87164495
Population,People's Republic of China,Male,70+ years,Number,2021,54544592.12540382,58663989.18653815,50570608.49617884
Population,People's Republic of China,Female,70+ years,Number,2021,64759479.92728241,69651400.20520532,60039919.888696186
Population,People's Republic of China,Both,70+ years,Number,2021,119304072.05268623,128315389.39174348,110610528.38487503
Population,G20,Male,5-14 years,Number,1990,364142021.8230942,375497383.60316867,353647557.77186286
Population,G20,Female,5-14 years,Number,1990,341813737.3229499,352349423.0078365,332090957.5723118
Population,G20,Both,5-14 years,Number,1990,705955759.1460441,727846806.6110053,685770819.5610788
Population,G20,Male,5-14 years,Number,2021,369105837.195071,388769087.47520334,350990445.9010892
Population,G20,Female,5-14 years,Number,2021,339068695.6007751,357049564.1881683,322621974.3987226
Population,G20,Both,5-14 years,Number,2021,708174532.7958461,745778965.3019575,673571115.0870397
Population,G20,Male,15-49 years,Number,1990,988109988.153098,1017835833.5406423,958845274.5677574
Population,G20,Female,15-49 years,Number,1990,947163878.1264702,975045329.8652054,920003733.8006018
Population,G20,Both,15-49 years,Number,1990,1935273866.2795682,1992863845.010213,1878662252.252201
Population,G20,Male,15-49 years,Number,2021,1255149333.6123865,1316535395.1524909,1198553488.906282
Population,G20,Female,15-49 years,Number,2021,1195755405.4442768,1253676842.3645954,1142833471.4494884
Population,G20,Both,15-49 years,Number,2021,2450904739.056663,2569999402.6036754,2341576712.1792336
Population,G20,Male,50-69 years,Number,1990,256119477.71831256,263025606.5940351,249609674.60831246
Population,G20,Female,50-69 years,Number,1990,263072100.8022654,269812579.1353883,257114862.60486186
Population,G20,Both,50-69 years,Number,1990,519191578.52057797,532937534.9791297,506734439.11514074
Population,G20,Male,50-69 years,Number,2021,520406471.1783872,541480231.5232581,500509631.6727317
Population,G20,Female,50-69 years,Number,2021,538488668.3450855,560036750.8295628,518679989.34242153
Population,G20,Both,50-69 years,Number,2021,1058895139.5234727,1101273888.3084338,1019240853.3186227
Population,G20,Male,70+ years,Number,1990,63476380.48123493,64986404.56481223,62100085.09314617
Population,G20,Female,70+ years,Number,1990,95309479.7842925,97343443.38157442,93368224.05143109
Population,G20,Both,70+ years,Number,1990,158785860.26552743,162296677.30918226,155503929.75063142
Population,G20,Male,70+ years,Number,2021,171856065.4250951,177912949.45795432,166423532.00853804
Population,G20,Female,70+ years,Number,2021,220440804.56466654,227672733.30998543,213956406.50701445
Population,G20,Both,70+ years,Number,2021,392296869.98976165,405522771.62194777,380552958.5964789
