measure,location,sex,age,metric,year,val,upper,lower
Population,China,Male,5-14 years,Number,1990,107038646.27873546,115006316.42045817,99779178.21898954
Population,China,Female,5-14 years,Number,1990,99531710.19396272,106940732.8701721,92781198.47790591
Population,China,Both,5-14 years,Number,1990,206570356.47269818,221947049.29063028,192560376.69689545
Population,China,Male,5-14 years,Number,2019,90764365.09223013,97472475.91663915,83760798.25706984
Population,China,Female,5-14 years,Number,2019,79051190.18709575,84891009.5585606,72953371.6818288
Population,China,Both,5-14 years,Number,2019,169815555.27932587,182363485.47519973,156714169.93889865
Population,China,Male,5-14 years,Number,2021,96935439.7985322,104288211.76968777,89829642.07404122
Population,China,Female,5-14 years,Number,2021,85027905.89189237,91476189.95291881,78796985.78241205
Population,China,Both,5-14 years,Number,2021,181963345.69042456,195764401.72260657,168626627.85645327
Population,China,Male,15-49 years,Number,1990,344641666.4025015,370279839.1603332,321288179.6484679
Population,China,Female,15-49 years,Number,1990,322210572.49146295,346178997.70774066,300378678.09461504
Population,China,Both,15-49 years,Number,1990,666852238.8939645,716458836.8680737,621666857.7430829
Population,China,Male,15-49 years,Number,2019,354460416.8882608,380616174.52633,327144188.4605172
Population,China,Female,15-49 years,Number,2019,331261158.30450886,355676809.5185515,305782649.58268344
Population,China,Both,15-49 years,Number,2019,685721575.1927696,736292984.0448816,632926475.4174588
Population,China,Male,15-49 years,Number,2021,344602740.5559886,370713853.2891699,319385572.55189615
Population,China,Female,15-49 years,Number,2021,318697423.67100435,342809115.74487156,295426246.8708235
Population,China,Both,15-49 years,Number,2021,663300164.226993,713522969.0340415,614816072.6497434
Population,China,Male,50-69 years,Number,1990,79595857.57080045,85510987.2981215,74209805.50588344
Population,China,Female,50-69 years,Number,1990,74103394.30223793,79610339.84888251,69089104.04266304
Population,China,Both,50-69 years,Number,1990,153699251.87303838,165121327.147004,143298909.54854646
Population,China,Male,50-69 years,Number,2019,181193076.80156094,194549509.46411154,167253940.609904
Population,China,Female,50-69 years,Number,2019,181046119.74670944,194384795.19557694,167130651.1783778
Population,China,Both,50-69 years,Number,2019,362239196.5482704,388934304.6596885,334384591.7882818
Population,China,Male,50-69 years,Number,2021,190390029.96366554,204801087.83882788,176478639.26446858
Population,China,Female,50-69 years,Number,2021,190120056.50427312,204498572.72011703,176243909.36103374
Population,China,Both,50-69 years,Number,2021,380510086.46793866,409299660.5589449,352722548.62550235
Population,China,Male,70+ years,Number,1990,16300073.15381403,17510104.857855484,15198760.826925132
Population,China,Female,70+ years,Number,1990,21229570.07987645,22804393.895503376,19796696.044719815
Population,China,Both,70+ years,Number,1990,37529643.23369048,40314498.75335886,34995456.87164495
Population,China,Male,70+ years,Number,2019,49866245.77874371,53537303.13812195,46038505.16445838
Population,China,Female,70+ years,Number,2019,58699670.61512028,63020887.863107696,54194125.806076854
Population,China,Both,70+ years,Number,2019,108565916.39386399,116558191.00122966,100232630.97053525
Population,China,Male,70+ years,Number,2021,54544592.12540382,58663989.18653815,50570608.49617884
Population,China,Female,70+ years,Number,2021,64759479.92728241,69651400.20520532,60039919.888696186
Population,China,Both,70+ years,Number,2021,119304072.05268623,128315389.39174348,110610528.38487503
Population,G20,Male,15-49 years,Number,1990,988109988.153098,1017835833.5406423,958845274.5677574
Population,G20,Female,15-49 years,Number,1990,947163878.1264702,975045329.8652054,920003733.8006018
Population,G20,Both,15-49 years,Number,1990,1935273866.2795682,1992863845.010213,1878662252.252201
Population,G20,Male,15-49 years,Number,2019,1253593617.8868217,1309507720.2973022,1202697032.7106638
Population,G20,Female,15-49 years,Number,2019,1198416062.5400333,1251241231.993413,1150678629.6920877
Population,G20,Both,15-49 years,Number,2019,2452009680.426855,2561094016.9189706,2353187392.1723886
Population,G20,Male,15-49 years,Number,2021,1255149333.6123865,1316535395.1524909,1198553488.906282
Population,G20,Female,15-49 years,Number,2021,1195755405.4442768,1253676842.3645954,1142833471.4494884
Population,G20,Both,15-49 years,Number,2021,2450904739.056663,2569999402.6036754,2341576712.1792336
Population,G20,Male,50-69 years,Number,1990,256119477.71831256,263025606.5940351,249609674.60831246
Population,G20,Female,50-69 years,Number,1990,263072100.8022654,269812579.1353883,257114862.60486186
Population,G20,Both,50-69 years,Number,1990,519191578.52057797,532937534.9791297,506734439.11514074
Population,G20,Male,50-69 years,Number,2019,500970107.7124302,519511313.2818798,483252160.49914896
