measure,location,sex,age,metric,year,val,upper,lower
Population,Germany,Male,<5 years,Number,1990,2298852.7821152387,2316260.103009602,2282458.9970412124
Population,Germany,Female,<5 years,Number,1990,2180349.121988187,2196859.1121552256,2164800.4208402494
Population,Germany,Both,<5 years,Number,1990,4479201.904103425,4513119.215164827,4447259.417881461
Population,Germany,Male,<5 years,Number,1991,2303210.875248202,2322051.751845703,2284839.3167464547
Population,Germany,Female,<5 years,Number,1991,2184280.8462201855,2202148.843597319,2166857.932937764
Population,Germany,Both,<5 years,Number,1991,4487491.721468388,4524200.595443022,4451697.249684219
Population,Germany,Male,<5 years,Number,1992,2273491.19833519,2290880.6844142335,2255485.172515947
Population,Germany,Female,<5 years,Number,1992,2158182.8908067946,2174690.4063684107,2141090.105542013
Population,Germany,Both,<5 years,Number,1992,4431674.0891419845,4465571.090782645,4396575.27805796
Population,Germany,Male,<5 years,Number,1993,2215607.3330919296,2233237.8618763303,2197766.019966296
Population,Germany,Female,<5 years,Number,1993,2104172.5494266297,2120916.344297647,2087228.5716901533
Population,Germany,Both,<5 years,Number,1993,4319779.88251856,4354154.206173978,4284994.591656448
Population,Germany,Male,<5 years,Number,1994,2151756.0363952597,2169609.769868787,2134207.592065008
Population,Germany,Female,<5 years,Number,1994,2042364.6815666922,2059310.7637728904,2025708.368160184
Population,Germany,Both,<5 years,Number,1994,4194120.7179619516,4228920.533641678,4159915.9602251914
Population,Germany,Male,<5 years,Number,1995,2078683.9544002248,2096104.06208358,2061374.3428958978
Population,Germany,Female,<5 years,Number,1995,1972836.7546187602,1989369.8252832019,1956408.5536353348
Population,Germany,Both,<5 years,Number,1995,4051520.7090189853,4085473.8873667824,4017782.8965312326
Population,Germany,Male,<5 years,Number,1996,2046638.5619123627,2064346.5429951223,2030311.3140495787
Population,Germany,Female,<5 years,Number,1996,1941624.68788922,1958424.0651133228,1926135.1978905331
Population,Germany,Both,<5 years,Number,1996,3988263.2498015827,4022770.608108445,3956446.511940112
Population,Germany,Male,<5 years,Number,1997,2036043.4564274456,2051309.2067377672,2020146.2136868073
Population,Germany,Female,<5 years,Number,1997,1929999.2711730087,1944469.9284076667,1914930.0118179417
Population,Germany,Both,<5 years,Number,1997,3966042.7276004544,3995779.135145434,3935076.225504749
Population,Germany,Male,<5 years,Number,1998,2029898.8375753716,2046216.9398082523,2012821.042049379
Population,Germany,Female,<5 years,Number,1998,1923954.5696603346,1939420.9992074524,1907768.096653037
Population,Germany,Both,<5 years,Number,1998,3953853.407235706,3985637.9390157047,3920589.1387024163
Population,Germany,Male,<5 years,Number,1999,2029686.8337521986,2046633.0895249657,2013163.593351124
Population,Germany,Female,<5 years,Number,1999,1924183.2952329144,1940248.6811498257,1908518.936261787
Population,Germany,Both,<5 years,Number,1999,3953870.128985113,3986881.770674791,3921682.5296129114
Population,Germany,Male,<5 years,Number,2000,2025940.5977177601,2043797.7831466699,2008945.5770260426
Population,Germany,Female,<5 years,Number,2000,1920525.989519112,1937454.0222336529,1904415.261017187
Population,Germany,Both,<5 years,Number,2000,3946466.587236872,3981251.8053803225,3913360.8380432297
